Year,MakeDate,Month,Housetype,Active listing,Sales,Benchmark price,Average day on market,Bank of Canada Interest Rate,Interest Change,Adj Close,Close,High,Open,Low,Volume,Previous year listing,Previous year sales,Previous years Benchmark price,Previous year average day
2020,1/1/2020,1,A,3411,814,663200,43,0.0175,0,17381.995649818,17381.995649818,17412.731711682,17360.345525455,17328.049982273,21187187727.2727,4115,559,658600,47
2019,12/1/2019,12,D,3941,599,1423500,65,0.0175,0,17019.9598634,17019.9598634,17058.9750977,17024.3149414,16983.00986335,20783443000,4925,348,1479000,56
2019,12/1/2019,12,T,1418,364,778400,51,0.0175,0,17019.9598634,17019.9598634,17058.9750977,17024.3149414,16983.00986335,20783443000,1579,189,809700,44
2019,12/1/2019,12,A,3244,1053,656700,48,0.0175,0,17019.9598634,17019.9598634,17058.9750977,17024.3149414,16983.00986335,20783443000,3771,535,664100,41
2019,11/1/2019,11,D,4786,825,1415400,57,0.0175,0,16925.995349714,16925.995349714,16946.085658429,16904.414248476,16880.409505238,20540180476.1905,5787,516,1500100,55
2019,11/1/2019,11,T,1812,451,772800,42,0.0175,0,16925.995349714,16925.995349714,16946.085658429,16904.414248476,16880.409505238,20540180476.1905,1918,282,818500,40
2019,11/1/2019,11,A,4172,1222,651500,44,0.0175,0,16925.995349714,16925.995349714,16946.085658429,16904.414248476,16880.409505238,20540180476.1905,4602,810,667800,34
2019,10/1/2019,10,D,5419,938,1410500,55,0.0175,0,16403.163574318,16403.163574318,16459.327104,16418.449973455,16357.009010864,18452478181.8182,6208,637,1524000,53
2019,10/1/2019,10,T,2047,536,771600,43,0.0175,0,16403.163574318,16403.163574318,16459.327104,16418.449973455,16357.009010864,18452478181.8182,1991,344,829200,32
2019,10/1/2019,10,A,4770,1384,652500,41,0.0175,0,16403.163574318,16403.163574318,16459.327104,16418.449973455,16357.009010864,18452478181.8182,4785,985,683500,29
2019,9/1/2019,9,D,5883,745,1406200,58,0.0175,0,16683.2453124,16683.2453124,16729.61484385,16677.69999995,16638.9751954,23414155000,6504,508,1540900,53
2019,9/1/2019,9,T,2233,422,767500,45,0.0175,0,16683.2453124,16683.2453124,16729.61484385,16677.69999995,16638.9751954,23414155000,1963,275,837600,33
2019,9/1/2019,9,A,5323,1166,651500,43,0.0175,0,16683.2453124,16683.2453124,16729.61484385,16677.69999995,16638.9751954,23414155000,4617,812,687300,32
2019,8/1/2019,8,D,5904,706,1406700,55,0.0175,0,16243.066592238,16243.066592238,16308.533296143,16239.123790905,16175.095284619,19546379523.8095,6225,567,1561000,54
2019,8/1/2019,8,T,2223,409,771900,44,0.0175,0,16243.066592238,16243.066592238,16308.533296143,16239.123790905,16175.095284619,19546379523.8095,1740,337,846000,31
2019,8/1/2019,8,A,5269,1116,654000,42,0.0175,0,16243.066592238,16243.066592238,16308.533296143,16239.123790905,16175.095284619,19546379523.8095,3859,1025,695500,29
2019,7/1/2019,7,D,6218,841,1417000,48,0.0175,0,16515.040838136,16515.040838136,16547.931906955,16515.2273615,16470.886408091,16873466818.1818,6425,637,1588400,47
2019,7/1/2019,7,T,2369,473,770000,41,0.0175,0,16515.040838136,16515.040838136,16547.931906955,16515.2273615,16470.886408091,16873466818.1818,1753,354,856000,27
2019,7/1/2019,7,A,5653,1243,653200,37,0.0175,0,16515.040838136,16515.040838136,16547.931906955,16515.2273615,16470.886408091,16873466818.1818,3959,1079,700500,24
2019,6/1/2019,6,D,6518,746,1423500,48,0.0175,0,16322.64516605,16322.64516605,16358.20014645,16325.65502925,16279.11015625,21116158000,6555,766,1598200,38
2019,6/1/2019,6,T,2470,390,774700,34,0.0175,0,16322.64516605,16322.64516605,16358.20014645,16325.65502925,16279.11015625,21116158000,1681,19,859800,22
2019,6/1/2019,6,A,5980,941,654700,36,0.0175,0,16322.64516605,16322.64516605,16358.20014645,16325.65502925,16279.11015625,21116158000,3711,120,704200,21
2019,5/1/2019,5,D,6416,913,1421900,45,0.0175,0,16316.763760682,16316.763760682,16356.213689682,16303.081764955,16253.427246136,21600038636.3636,6316,926,1608000,38
2019,5/1/2019,5,T,2392,419,779400,36,0.0175,0,16316.763760682,16316.763760682,16356.213689682,16303.081764955,16253.427246136,21600038636.3636,1544,476,859500,23
2019,5/1/2019,5,A,5877,1246,664200,34,0.0175,0,16316.763760682,16316.763760682,16356.213689682,16303.081764955,16253.427246136,21600038636.3636,3432,1431,701700,17
2019,4/1/2019,4,D,6236,586,1437100,52,0.0175,0,16470.400018619,16470.400018619,16492.314267095,16455.752325190,16422.752464571,21424580476.1905,5736,807,1605800,37
2019,4/1/2019,4,T,2325,358,783300,33,0.0175,0,16470.400018619,16470.400018619,16492.314267095,16455.752325190,16422.752464571,21424580476.1905,1284,464,854200,23
2019,4/1/2019,4,A,5796,885,656900,33,0.0175,0,16470.400018619,16470.400018619,16492.314267095,16455.752325190,16422.752464571,21424580476.1905,2802,1308,701000,19
2019,3/1/2019,3,D,5649,529,1437100,46,0.0175,0,16119.561848857,16119.561848857,16163.685779429,16124.247535333,16073.704613,26978545714.2857,5072,722,1608500,40
2019,3/1/2019,3,T,2049,325,783600,39,0.0175,0,16119.561848857,16119.561848857,16163.685779429,16124.247535333,16073.704613,26978545714.2857,1118,446,835300,22
2019,3/1/2019,3,A,5076,873,656900,37,0.0175,0,16119.561848857,16119.561848857,16163.685779429,16124.247535333,16073.704613,26978545714.2857,2190,1349,693500,18
