Month,Year,Housetype,Sales,Benchmark price,Close,Volume,Bank of Canada Target Overnight Rate,Births,Deaths,Immigrants,Emigrants,Returning emigrants
2,2021,T,737,839800,18250.07905,283051605.3,0.25,23583,17885,28002,4249,948
2,2022,T,560,1090000,21232.37366,288395910.5,0.25,23811,18058,28273,4290,957
1,2005,T,277,309798,9087.594971,116772740,2.5,21756,13484,35990,9314,3656
1,2006,T,337,356442,11662.24763,173044090.5,3.5,21892,13396,38296,9215,4517
1,2007,T,341,411564,12746.75453,188655840.9,4.25,22530,13455,32245,9838,4252
1,2008,T,318,462627,13215.51363,238461368.2,4.25,23039,13810,36617,9449,3945
1,2009,T,109,462627,8888.66662,227141095.2,1.5,23688,13492,35977,8334,3773
1,2010,T,327,482478,11654.275,163821980,0.25,23586,13545,36850,8906,4270
1,2011,T,313,495140,13392.76484,231808115,1,23223,13564,32857,8783,3872
1,2012,T,261,468000,12331.75242,196652219,1,23339,13813,29630,9542,4251
1,2013,T,233,449900,12668.82267,162387913.6,1,23969,13976,29822,9560,4087
1,2014,T,279,457700,13728.08185,179950581.8,1,23681,14290,30466,9775,4347
1,2015,T,323,479600,14460.89063,246596604.8,1,24134,14952,25159,9752,4911
1,2016,T,376,555100,12361.01001,256482220,0.5,24077,15161,34750,9574,4942
1,2017,T,254,666500,15486.57613,206382366.7,0.5,24544,16259,28023,8595,4647
1,2018,T,319,803700,16272.46373,210722286.4,1.25,23993,16299,33295,7995,4360
1,2019,T,205,800600,15031.88623,237062686.4,1.75,23780,16132,34562,6842,4432
1,2020,T,318,782500,17381.99565,211871877.3,1.75,23866,16474,36449,5335,6108
1,2021,T,454,815800,17830.675,250555990,0.25,23583,17885,28002,4249,948
1,2022,T,348,1029500,21033.24502,262863980,0.25,23811,18058,28273,4290,957
12,2005,D,961,567417,11150.78496,136128790,3.25,21756,13484,35990,9314,3656
12,2006,D,633,643790,12853.43159,162569578.9,4.25,21892,13396,38296,9215,4517
12,2007,D,679,730399,13670.63148,188840115.8,4.5,22530,13455,32245,9838,4252
12,2008,D,348,730399,8472.714239,269090876.2,2.25,23039,13810,36617,9449,3945
12,2009,D,902,766816,11580.10472,158214595.2,0.25,23688,13492,35977,8334,3773
12,2010,D,769,797868,13275.4382,195339985.7,1,23586,13545,36850,8906,4270
12,2011,D,630,887471,11860.67505,209796565,1,23223,13564,32857,8783,3872
12,2012,D,425,904200,12290.24733,182553368.4,1,23339,13813,29630,9542,4251
12,2013,D,762,927000,13339.18013,144336825,1,23969,13976,29822,9560,4087
12,2014,D,833,1002200,14335.87142,272334338.1,1,23681,14290,30466,9775,4347
12,2015,D,1136,1248600,13115.16183,214070252.4,0.5,24134,14952,25159,9752,4911
12,2016,D,541,1483500,15254.49502,223637860,0.5,24077,15161,34750,9574,4942
12,2017,D,617,1605800,16092.82622,184272426.3,1,24544,16259,28023,8595,4647
12,2018,D,348,1479000,14546.79996,276276668.4,1.75,23993,16299,33295,7995,4360
12,2019,D,599,1423500,17019.95986,207834430,1.75,23780,16132,34562,6842,4432
12,2020,D,1026,1554600,17520.94782,247748995.2,0.25,23866,16474,36449,5335,6108
12,2021,D,794,1910200,20917.44745,237045200,0.25,23583,17885,28002,4249,948
11,2005,D,1232,566500,10746.74991,132053504.5,3,21756,13484,35990,9314,3656
11,2006,D,904,647562,12422.34557,214683081.8,4.25,21892,13396,38296,9215,4517
11,2007,D,1067,729011,13738.57271,229905750,4.5,22530,13455,32245,9838,4252
11,2008,D,322,666525,9043.729956,296403495,2.25,23039,13810,36617,9449,3945
11,2009,D,1164,757209,11412.00009,173306885.7,0.25,23688,13492,35977,8334,3773
11,2010,D,1050,799312,12843.19997,212203813.6,1,23586,13545,36850,8906,4270
11,2011,D,916,890204,12038.091,197608240.9,1,23223,13564,32857,8783,3872
11,2012,D,629,914500,12163.19087,152550268.2,1,23339,13813,29630,9542,4251
11,2013,D,926,924800,13396.08571,128495100,1,23969,13976,29822,9560,4087
11,2014,D,1012,997800,14824.76504,200458880,1,23681,14290,30466,9775,4347
11,2015,D,1335,1226300,13424.18573,191119261.9,0.5,24134,14952,25159,9752,4911
11,2016,D,638,1511100,14821.92738,226577081.8,0.5,24077,15161,34750,9574,4942
11,2017,D,841,1608000,16032.32719,176767209.1,1,24544,16259,28023,8595,4647
11,2018,D,516,1500100,15144.00457,253681772.7,1.75,23993,16299,33295,7995,4360
11,2019,D,825,1415400,16925.99535,205401804.8,1.75,23780,16132,34562,6842,4432
11,2020,D,1061,1538900,16743.60491,270683195.2,0.25,23866,16474,36449,5335,6108
11,2021,D,987,1870000,21439.10458,248287300,0.25,23583,17885,28002,4249,948
10,2005,D,1240,564061,10487.57998,140605395,3,21756,13484,35990,9314,3656
10,2006,D,1085,650707,11970.22852,213129638.1,4.25,21892,13396,38296,9215,4517
10,2007,D,1133,730022,14215.41824,242931813.6,4.5,22530,13455,32245,9838,4252
10,2008,D,493,695962,9774.150036,317762745.5,3,23039,13810,36617,9449,3945
10,2009,D,1487,749808,11291.49047,192470514.3,0.25,23688,13492,35977,8334,3773
10,2010,D,976,796883,12569.48496,197395705,1,23586,13545,36850,8906,4270
10,2011,D,974,884778,11922.75996,241595370,1,23223,13564,32857,8783,3872
10,2012,D,790,927500,12337.64546,141673259.1,1,23339,13813,29630,9542,4251
10,2013,D,1067,922600,13057.72723,154387345.5,1,23969,13976,29822,9560,4087
10,2014,D,1271,995100,14460.83176,209123077.3,1,23681,14290,30466,9775,4347
